cell,site,date,night,CORRAF,CORTOW,EPTFUS,LASBOR,LASCIN,LASINT,LASNOC,MYOAUS,MYOGRI,MYOLEI,MYOLUC,MYOSEP,MYOSOD,NYCHUM,PERSUB,TADBRA
cell-105,C105-S1,20170720,night2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-105,C105-S1,20170721,night3,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-105,C105-S1,20170722,night4,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1
cell-105,C105-S2,20160720,night1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cell-105,C105-S2,20160721,night2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-105,C105-S2,20160722,night3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-105,C105-S2,20160723,night4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cell-105,C105-S2,20170719,night1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
cell-105,C105-S2,20170720,night2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
cell-105,C105-S2,20170721,night3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-105,C105-S2,20170722,night4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S1,20210722,night1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
cell-108,C108-S1,20210723,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-108,C108-S1,20210724,night3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-108,C108-S1,20210725,night4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
cell-108,C108-S1,20200730,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
cell-108,C108-S1,20200731,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-108,C108-S1,20200801,night3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1
cell-108,C108-S1,20200802,night4 ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Cell-108,C108-S1,20190718,night1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Cell-108,C108-S1,20190719,night2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
