site_code,2015,2016,2017,2018,2019,2020,2021
C14-S2,148.1298828125,127.96484375,143.22021484375,201.18505859375,143.06005859375,110.55029296875,167.1953125
C18-S1,150.15478515625,187.47998046875,158.7900390625,164.330078125,128.27490234375,106.98974609375,258.1201171875
C18-S4,157.7900390625,182.68994140625,151,173.35986328125,121.18994140625,115.07470703125,237.58984375
C19-S1,135.884765625,133.7548828125,155.30517578125,288.25,78.40478515625,181.740234375,237.85009765625
C19-S2,140.544921875,129.375,168.03466796875,268.06005859375,94.580078125,177.9599609375,239.0048828125
C19-S3,147.26025390625,128.26025390625,182.5400390625,258.38037109375,101.48486328125,179.4697265625,237.63037109375
C19-S4,133.39501953125,131.349609375,153.009765625,282.0048828125,84.5400390625,178.09521484375,240.44482421875
C19-S5,127.23974609375,124.52001953125,142.294921875,259.0498046875,105.134765625,163.125,229.73974609375
C19-S6,127.23974609375,124.52001953125,142.294921875,259.0498046875,105.134765625,163.125,229.73974609375
C2-S1,119.18994140625,123.1298828125,99.384765625,106.52490234375,124.73486328125,138.3603515625,156.02001953125
C2-S2,119.14501953125,129.51025390625,102.72021484375,114.06005859375,129.025390625,141.2451171875,157.51025390625
C2-S3,125.34521484375,132.7900390625,117.5302734375,122.53515625,134.39013671875,151.294921875,158.52978515625
C20-S1,133.27001953125,86.84033203125,94.625,84.830078125,108.9248046875,109.34033203125,122
C20-S2,125.52490234375,96.76025390625,101.71484375,84.4150390625,110.8447265625,105.3251953125,125.17529296875
C20-S3,132.93505859375,84.2099609375,87.88037109375,88.80517578125,104.01025390625,114.85986328125,119.865234375
C20-S4,137.19970703125,93.64501953125,97.330078125,86.06494140625,106.77978515625,107.0849609375,127.51513671875
C200-S1,110.90966796875,83.625,114.93017578125,64.0703125,149.8046875,101.10498046875,115.580078125
C200-S2,110.90966796875,83.625,114.93017578125,64.0703125,149.8046875,101.10498046875,115.580078125
C200-S3,116.634765625,90.76513671875,114.25,68.4951171875,125.63525390625,96.30517578125,118.55517578125
C200-S4,116.634765625,90.76513671875,114.25,68.4951171875,125.63525390625,96.30517578125,118.55517578125
C200-S5,111.93505859375,91.85986328125,116.18505859375,63.044921875,145.56982421875,100.35009765625,116.98974609375
C201-S1,153.86474609375,135.13525390625,142.10498046875,159.5048828125,147.5751953125,99.89013671875,155.48486328125
C201-S2,153.86474609375,135.13525390625,142.10498046875,159.5048828125,147.5751953125,99.89013671875,155.48486328125
C202-S1,123.8349609375,116.30029296875,114.18017578125,103.6552734375,194.94482421875,109.1552734375,123.93505859375
C202-S2,121.330078125,111.669921875,111.9150390625,102.330078125,202.55029296875,114.2451171875,126.47021484375
C203-S1,90.43994140625,63.81982421875,124.1552734375,70.16015625,123.89453125,104.14013671875,108.4150390625
C203-S2,86.68505859375,63.53515625,121.1298828125,72.03515625,126.31982421875,104.384765625,109.0400390625
C204-S1,119.2197265625,127.4296875,92.21484375,113.42529296875,117.7099609375,132.93505859375,154.60498046875
C204-S2,119.2197265625,127.4296875,92.21484375,113.42529296875,117.7099609375,132.93505859375,154.60498046875
C205-S1,122.3349609375,99.89501953125,103.8447265625,105.0751953125,223.39013671875,112.49462890625,123.72021484375
