psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),p(tavg),p(water),df,logLik,QAIC,delta,weight
-0.07347130052176538,0.0748665998364973,-2.274106802654055,1.0736013510244422,+,NA,NA,NA,NA,NA,NA,NA,NA,-0.6602276470503278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6644205914325364,0.4656210961690391,+,10,-1129.5349092851786,1035.0357930808777,5.603235843125731,0.00963889479758163
3.4237651744562925,0.12504333043035262,-2.2325771917672164,1.0747616091515237,NA,0.5728667496796565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6958782986044447,0.4656317720684935,+,8,-1134.0019630063423,1035.0421192881995,5.609562050447494,0.00960845414301397
22.192166791352687,0.021787662406416934,-2.267680275126001,1.039654152063723,NA,NA,NA,NA,NA,1.097120645290292,NA,NA,NA,17.284067934170196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.886839021073538,0.4796281088264472,+,9,-1131.8945460050588,1035.1520591973622,5.71950195961017,0.00909453238608301
6.161066853175696,0.08999708865899438,-2.2681931282350836,1.0734284695030405,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.091119177462044,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.372254463874212,0.46699249807474386,+,10,-1129.7005001390132,1035.184305057411,5.751747819658931,0.00894907760632248
5.096352869906574,0.07930054138800215,-2.2522808924482995,1.058548466484007,NA,NA,NA,NA,1.1361864606660783,NA,NA,NA,NA,2.265099644001006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9362596769398492,0.4764028513394518,+,9,-1132.1042062435922,1035.3400952857328,5.907538047980779,0.00827844668251808
8.606855925613601,0.157123947833518,-2.2188851599637824,1.0748137328794738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.710998466092287,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.511447588207854,0.46551743095311127,+,8,-1134.355622567519,1035.3593027511383,5.926745513386322,0.00819932324171277
4.205115782247878,0.16124827902604436,-2.212670013250874,1.0751785004588994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6214748294966217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.760776774482929,0.4654702067421438,+,8,-1134.395229892661,1035.3948250158396,5.962267778087607,0.0080549796239872
7.994846592209436,0.1266091809497105,-2.2319810106092013,1.075387050053342,NA,NA,NA,NA,0.7946268358542181,NA,NA,NA,NA,NA,NA,18.24049773612512,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9648044677968979,0.46592075673849703,+,9,-1132.1693350385613,1035.3985067610415,5.96594952328951,0.00804016507273058
8.048636611603666,0.12073502758766795,-2.2347348136402747,1.0756482548987232,NA,NA,NA,0.8966344052814544,NA,NA,NA,NA,NA,NA,NA,18.219565729255347,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2117987556631644,0.46557698686695903,+,9,-1132.2141722552426,1035.4387195114282,6.006162273676182,0.00788012084349353
5.22992083411684,0.08768069326494567,-2.2536943369294784,1.0587945556162792,NA,NA,NA,NA,NA,NA,NA,NA,1.3270876402918266,2.630793547384099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.950904266708884,0.47582242697366,+,9,-1132.2248025290928,1035.448253389321,6.0156961515690455,0.00784264617922398
3.3859297175128784,0.1260379204972485,-2.2332954669108704,1.0741207262204016,NA,NA,0.4391946530452978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.050471579628857,0.4657315716670949,+,8,-1134.50897687522,1035.4968402468342,6.064283009082146,0.00765441703583434
3.396795287676741,0.13776764570058758,-2.225054991058388,1.0740459963932159,NA,NA,NA,NA,NA,0.40800060376522024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9303507789992227,0.46544130355837193,+,8,-1134.5141384433612,1035.5014694559293,6.0689122181772746,0.00763672057540871
5.45668772909472,0.0763835540742373,-2.2562453871188715,1.0573465125102477,NA,NA,NA,NA,NA,NA,NA,1.4335626236796855,NA,2.6883341350116603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.879779067194306,0.47649770524923907,+,9,-1132.2931716934304,1035.5095710254982,6.077013787746182,0.00760584843431313
18.721943901277516,0.030000372381854892,-2.2640967874045916,1.0399118871344175,NA,NA,0.6617920490874707,NA,NA,NA,NA,NA,NA,14.74860846853087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.631112505981223,0.47955546086789214,+,9,-1132.3257847883538,1035.5388204379856,6.10626320023357,0.00749542456170998
6.456287384756999,0.12815916701460922,-2.2333177516028253,1.0754766872494426,NA,NA,NA,NA,NA,NA,NA,0.8617634253323608,NA,NA,NA,12.444881258459194,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7889269325566113,0.46577602816490343,+,9,-1132.5529514857305,1035.7425573863054,6.310000148553399,0.00676948018454685
3.313050830928723,0.14633733570690988,-2.222097619360324,1.074180208042809,NA,NA,NA,NA,NA,NA,0.20071459575527487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.810717813878063,0.4655381374795652,+,8,-1134.908247628928,1035.854930608904,6.422373371151934,0.0063996140923867
19.835249363779145,0.03960509563349684,-2.2595910870449174,1.040208135424958,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.218693912262335,0.4013763168295264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2580790311848074,0.47947288452924597,+,9,-1132.7398054775167,1035.910139441719,6.477582203966904,0.00622537246362928
20.102808565003674,0.04500517952806783,-2.258158352934415,1.0402591489534443,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.83599770720502,NA,NA,NA,-0.7613250998687349,NA,NA,NA,NA,NA,NA,NA,-1.2672205397707053,0.479424621967672,+,9,-1132.8022903159613,1035.9661796555706,6.533622417818606,0.00605335804699287
19.527864160407262,0.035166785010295354,-2.2619841526292666,1.0399719365481146,NA,NA,NA,NA,NA,NA,0.47205770440303296,NA,NA,15.94639750168997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9885565182924944,0.47951298591149266,+,9,-1132.804215107536,1035.9679059260413,6.535348688289332,0.00604813543460487
6.846723705326054,0.13818091050654127,-2.2276432092722347,1.0752975859827216,NA,NA,NA,NA,NA,NA,NA,NA,0.7102212225972389,NA,NA,14.367185788094755,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6781523208338394,0.465821210916329,+,9,-1132.8082369630101,1035.9715129713095,6.538955733557486,0.00603723731591048
5.168301607084639,0.0706993610179814,-2.2633488288673096,1.0579985042437685,NA,1.2337722269844107,NA,NA,NA,NA,NA,NA,NA,2.5334498033689146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8373040839104933,0.47649588607473836,+,9,-1132.8362909590585,1035.996673505882,6.564116268129965,0.00596176299576374
21.90388780526316,0.04284184970360222,-2.2601508975951696,1.0398820679801795,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.352752743970955,NA,9.549816597311708,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2810885794206537,0.47966068303378523,+,9,-1132.881884348169,1036.0375644378198,6.605007200067803,0.00584110958383584
5.042526538549905,0.07981833486541445,-2.2524663692482094,1.0582241018350156,NA,NA,NA,1.0823562764597072,NA,NA,NA,NA,NA,2.157625558143931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.982300733740115,0.476239943046605,+,9,-1132.8845698238972,1036.0399729362307,6.60741569847869,0.00583407966599666
3.6598934254416746,0.11334643906071455,-2.2368637303780785,1.07456170280519,NA,NA,NA,NA,0.7798799654602953,NA,NA,NA,NA,NA,NA,NA,NA,-0.383089243410072,NA,NA,NA,NA,NA,NA,NA,2.88101439823139,0.4663335293842507,+,9,-1132.9308165931259,1036.0814498593058,6.648892621553841,0.00571433577292481
3.6722026643151913,0.10828360536702686,-2.2398146338480056,1.074807688394257,NA,NA,NA,0.8325732898747584,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36342155970747464,NA,NA,NA,NA,NA,NA,NA,3.173012754839818,0.4660256466911555,+,9,-1133.0181788766215,1036.1598016830685,6.727244445316501,0.00549479979631794
4.145889120598671,0.11875306341786067,-2.2468124155136295,1.0763294612787309,NA,0.6904552514079323,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.453363627190399,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9922405331497745,0.4616757597804147,+,9,-1133.1027577299917,1036.2356571569433,6.803099919191254,0.00529029715078341
3.5374861096038175,0.1232575304226296,-2.2355288865323004,1.0741266598850019,NA,NA,NA,NA,NA,NA,NA,NA,0.8282454849814913,NA,NA,NA,NA,-0.4683819196272795,NA,NA,NA,NA,NA,NA,NA,2.766426690517072,0.4664273713054636,+,9,-1133.1267100003986,1036.2571390138105,6.824581776058494,0.00523377852233283
3.776126512241419,0.132040738578856,-2.225618381041186,1.0751790725344557,NA,NA,NA,NA,0.6706480497905758,NA,NA,NA,NA,NA,0.3360474434811529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.069194428828246,0.4660406430865045,+,9,-1133.1824970831601,1036.3071722718923,6.874615034140334,0.00510447118702621
4.198877703332368,0.13416196361587257,-2.22762156735536,1.0754172337058931,NA,NA,NA,NA,NA,NA,NA,0.8003946669330131,NA,NA,0.5108587362836436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.927157424491113,0.4658504808536909,+,9,-1133.2209269079399,1036.3416384824573,6.9090812447052485,0.00501725892504211
3.641063023544696,0.10502413112420257,-2.243566790806466,1.0748716871805204,NA,NA,NA,0.9085065380423152,NA,NA,NA,NA,NA,NA,-0.39033030097265664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3373064626668363,0.46527721325134563,+,9,-1133.2393172194886,1036.3581320354158,6.925574797663785,0.00497605285430895
3.8165731651063304,0.14384219567117704,-2.2210024940131645,1.0754480763042833,NA,NA,NA,NA,NA,NA,NA,NA,0.6343323343606182,NA,0.7133705689458969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0651749987289265,0.46570128056689236,+,9,-1133.3757102250183,1036.4804576009133,7.047900363161261,0.00468082414824627
3.2619864502371065,0.09608722177384535,-2.2501591182589853,1.0739482813830026,NA,0.820604542056924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6756102495719842,NA,NA,NA,NA,NA,NA,NA,0.9248998784831631,0.4662776934793704,+,9,-1133.4024946206694,1036.504479480421,7.071922242668961,0.0046249393377885
31.207374437203608,0.1490688840777272,-2.2146290391057573,1.0422168622591779,NA,NA,NA,NA,NA,NA,NA,1.608737635043898,NA,NA,NA,NA,NA,-26.440521970459457,NA,NA,NA,NA,NA,NA,NA,4.57662474579798,0.47836614931843263,+,9,-1133.5219201101927,1036.6115875427736,7.17903030502157,0.00438377060839026
6.999020197003533,0.1250426558892017,-2.235968974691935,1.074396807733337,NA,NA,0.5409391572837239,NA,NA,NA,NA,NA,NA,NA,NA,15.573925695952312,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.689636884078871,0.465448251431616,+,9,-1133.5697223914342,1036.6544595438872,7.2219023061352345,0.00429080011692542
10.71896406765305,0.1614172314935561,-2.2138885628532603,1.0754955562216555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6898478368150585,22.544792249529486,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.899295518544484,0.4654214872255775,+,9,-1133.6870743781085,1036.7597079624293,7.327150724677267,0.00407083856443727
