psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),psi(sc.water),p(canopy),p(j_date),df,logLik,QAIC,delta,weight
2.4747096836801266,-0.7568706535911268,-2.0886948906578664,0.3358970481770131,NA,NA,1.279435105116017,NA,NA,NA,NA,NA,NA,NA,-0.12356580428785911,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26956668547873597,NA,+,0.3024417071213356,10,-1173.983669954748,921.6043447929103,1.877264934267032,0.0095913817933191
2.331315566644879,-0.761774754212838,-2.0968312361182893,0.3496069258782023,NA,NA,NA,1.1844010446181612,NA,NA,NA,NA,0.3325571247788019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18648267883225975,NA,+,0.3021943620700996,10,-1174.0253700263602,921.6362988707741,1.9092190121308477,0.00943935759513042
2.3400310908025332,-0.7625995649427045,-2.0924000087470778,0.3467005336219433,NA,NA,NA,1.1689105652260146,NA,NA,NA,NA,NA,NA,NA,NA,-0.34993890028423386,NA,NA,NA,NA,NA,NA,NA,0.1740563950071903,NA,+,0.30168940657153176,10,-1174.0607071276117,921.6633771092811,1.9362972506378355,0.00931241826938246
2.7169406797291957,-0.7712259261990504,-2.102481692204434,0.3317425020508379,NA,NA,NA,1.1598667239939173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1576228314664688,+,+,0.30046970616426816,10,-1174.0692446147805,921.6699192450426,1.9428393863993279,0.00928200648371394
2.3237513166479657,-0.7638167791370911,-2.0987360268653505,0.35143043485033876,NA,NA,NA,1.2165276692460962,NA,NA,NA,NA,0.34211520116852523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16547791979290358,NA,NA,+,0.30233762167833633,10,-1174.0748140569326,921.6741870168066,1.9471071581633623,0.00926222085876219
2.7199211571415356,-0.7728241099577303,-2.1045437763991206,0.33351551279695607,NA,NA,NA,1.186810756613389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13442578565333047,NA,+,+,0.30058119223871915,10,-1174.1103556904015,921.7014219849821,1.9743421263387972,0.00913694760272673
2.334083875739218,-0.7643842038572513,-2.093947259299631,0.3475364062992534,NA,NA,NA,1.1891986824376568,NA,NA,NA,NA,NA,NA,NA,NA,-0.33960960832875564,NA,NA,NA,NA,NA,NA,0.13115097036549236,NA,NA,+,0.3017832540638746,10,-1174.1651192043228,921.7433863634658,2.0163065048225235,0.00894723172642862
2.3678404409664284,-0.7633263908168286,-2.0908111132336082,0.33430073918380226,NA,NA,NA,1.098567596737784,NA,NA,NA,NA,NA,NA,-0.13480631689568753,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22335308511833937,NA,+,0.30114395672697547,10,-1174.3865813191971,921.9130891334844,2.186009274841126,0.00821936368200466
3.5539410523831854,-0.725365255084509,-2.071909361118255,0.3057577976675529,NA,NA,NA,NA,NA,NA,1.03136332287376,NA,NA,2.7321951174260546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11079813614695075,NA,+,0.30053980247150686,10,-1174.4066521144512,921.9284690532194,2.201389194576109,0.00815639951141062
2.3576100199650316,-0.7654653271316856,-2.0929059266381915,0.336791594372697,NA,NA,NA,1.136469619338338,NA,NA,NA,NA,NA,NA,-0.15186751390117234,NA,NA,NA,NA,NA,NA,NA,NA,0.21670477710064745,NA,NA,+,0.301278085160917,10,-1174.4278314905469,921.9446984601892,2.2176186015459507,0.00809048056594033
3.6669437170389636,-0.7267880609997367,-2.0719515685094807,0.3026735136483036,NA,NA,NA,NA,NA,NA,1.017357462480539,NA,NA,2.9354265272966695,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02861262294345344,NA,NA,+,0.30030470702083634,10,-1174.4642197352275,921.9725821725882,2.2455023139449395,0.00797846690288196
2.2798963234166827,-0.7308253720417929,-2.0955146759556347,0.3567946709392337,NA,NA,NA,NA,NA,NA,1.4789827168350567,NA,NA,NA,NA,NA,-0.5322997040312398,NA,NA,NA,NA,NA,NA,NA,0.18966095896634944,NA,+,0.30320147760582955,10,-1174.787413262584,922.2202400479572,2.493160189313926,0.00704922257636019
2.2703448939595754,-0.7346704280752232,-2.0981279935256656,0.35865302301195856,NA,NA,NA,NA,NA,NA,1.5192725846928292,NA,NA,NA,NA,NA,-0.5305588653864304,NA,NA,NA,NA,NA,NA,0.18133262365650907,NA,NA,+,0.3032823786969376,10,-1174.9033898355658,922.309110985108,2.582031126464699,0.00674284450524015
2.3761667763483447,-0.7407791025985614,-2.087106287534115,0.3320161331799388,NA,NA,NA,NA,NA,NA,1.3031930767314792,NA,NA,NA,-0.24269567914036397,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24913884256741337,NA,+,0.30321286328420877,10,-1175.0087082014686,922.389814713769,2.662734855125791,0.00647617465467186
2.2103154251268013,-0.7458653659120674,-2.087135306712005,0.31778684946789815,NA,0.9435718028882332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09676800148448814,NA,+,0.30446776335850884,9,-1177.6253646922685,922.3949154730027,2.667835614359433,0.00645967899487612
2.3526966887683494,-0.7449886972259813,-2.0907813979052,0.33681857535547943,NA,NA,NA,NA,NA,NA,1.3732579178693958,NA,NA,NA,-0.26633632635844134,NA,NA,NA,NA,NA,NA,NA,NA,0.2897107894848878,NA,NA,+,0.30328116482844375,10,-1175.024109120746,922.4016161844797,2.6745363258364705,0.00643807298640429
2.2272769695376287,-0.7485736387005987,-2.0805574480065303,0.2910684610156144,NA,NA,NA,NA,NA,0.9084306617205973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09735985607600191,NA,+,0.30530289062162286,9,-1177.6615826995799,922.4226687353103,2.6955888766669887,0.00637065948600587
2.224151477779069,-0.7491270367286017,-2.0812533570562213,0.2919225522726688,NA,NA,NA,NA,NA,0.9296736813932298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08561914494587153,NA,NA,+,0.30537254274555187,9,-1177.690673100151,922.4449602300007,2.71788037135741,0.00630004796502935
2.2102907020202105,-0.7475781796872217,-2.087963867261324,0.3180180376284506,NA,0.9499688878191027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04990744973430128,NA,NA,+,0.30450322553936865,9,-1177.69638126333,922.4493343014024,2.7222544427590947,0.00628628459119377
3.5817579055575797,-0.7428745189844228,-2.0701570996310137,0.26387572011918464,NA,NA,NA,NA,NA,0.6962631343785893,NA,NA,NA,3.000631627475505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04077287209285965,NA,+,0.3017099798116578,10,-1175.1594912316596,922.5053572656395,2.778277406996267,0.00611263982042052
3.6315472796714112,-0.7432625305913148,-2.0700295102450768,0.2623501585411819,NA,NA,NA,NA,NA,0.6908129691481966,NA,NA,NA,3.0841302426552573,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0036515808664687025,NA,NA,+,0.30159016012669687,10,-1175.1662983465794,922.5105734456548,2.7834935870115487,0.00609671827701874
3.7820484790752182,-0.74187388975596,-2.073504832811278,0.2782978051287385,NA,0.6980772724546888,NA,NA,NA,NA,NA,NA,NA,3.3562153185506434,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.030682280621784675,NA,NA,+,0.30038365957246854,10,-1175.2486021385528,922.5736414854811,2.846561626837797,0.00590746389965018
3.7159578089673673,-0.7414870531746037,-2.0737763133811087,0.28123400180508296,NA,0.7114078075862238,NA,NA,NA,NA,NA,NA,NA,3.244274159534707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032269863932884904,NA,+,0.3005707142358673,10,-1175.2494153705745,922.5742646517813,2.8471847931380125,0.00590562352016968
2.6325917877694955,-0.7387371568512122,-2.0994221682720395,0.33591596126447776,NA,NA,NA,NA,NA,NA,1.361610492659664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15907267890272053,+,+,0.3027238567344971,10,-1175.3282597149707,922.634681773924,2.9076019152806793,0.00572989081117423
2.45796562995823,-0.7606907741426179,-2.1025463971930605,0.33464671217515835,NA,NA,1.2642886885643385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,0.3021679955787281,8,-1180.5808768608244,922.6596757554211,2.932595896777798,0.00565872999288531
2.16601130105431,-0.7452669779657218,-2.091789632566829,0.3260710791358524,0.9783348987629847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11061256448029402,NA,+,0.3038192664383556,9,-1177.982857127798,922.668856036627,2.9417761779836837,0.00563281514847446
2.247951034457666,-0.7368799357552945,-2.0977030130678047,0.35293294920288004,NA,NA,NA,NA,NA,NA,1.3682690735984488,NA,0.3058044268866336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180096960367092,NA,+,0.30368823687727964,10,-1175.383541746494,922.6770434839035,2.9499636252602386,0.00560980309458302
2.627471197174471,-0.7411799996723647,-2.101915260177207,0.338456551974495,NA,NA,NA,NA,NA,NA,1.3988905684317383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14673279192591782,NA,+,+,0.3027592217174596,10,-1175.4107152668194,922.6978661048424,2.970786246199168,0.00555170067887245
2.235000926209858,-0.7403432083234741,-2.100863999330643,0.35617426646247413,NA,NA,NA,NA,NA,NA,1.4196301540739518,NA,0.32893295122350785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18584670007472837,NA,NA,+,0.30377943186653944,10,-1175.4429963031887,922.7226025311791,2.995522672535799,0.00548345894550671
2.1640141404164326,-0.7477421486579078,-2.092861990843926,0.32614649655550215,0.9764691864508627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04027772331879675,NA,NA,+,0.3038824937055128,9,-1178.1023744335241,922.7604401789457,3.0333603203024495,0.00538069351711389
2.3634576005749497,-0.7652178131996379,-2.1043679886074345,0.33313698365033007,NA,NA,NA,1.1051571454881874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,0.3007878851014709,8,-1180.8400623936636,922.8582853591292,3.131205500485976,0.00512379144856155
3.8041710899599104,-0.7365051571739071,-2.073801054491848,0.2806757696624798,0.6919166166521491,NA,NA,NA,NA,NA,NA,NA,NA,3.44555886759876,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07372942837538402,NA,NA,+,0.29937529324377615,10,-1175.6320131524005,922.8674430286594,3.140363170016144,0.00510038408427054
4.567708567008582,-0.6971109769361158,-2.0545110799702835,0.26725289907290833,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.276557220142593,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34302892990520056,NA,NA,+,0.30017724074414986,9,-1178.2429748022566,922.8681799251009,3.141100066457625,0.00509850520298609
3.667338008455207,-0.7356249839496294,-2.074765882388626,0.286849237344935,0.7248538736533653,NA,NA,NA,NA,NA,NA,NA,NA,3.2194377632346467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035126997141223464,NA,+,0.2996743916887911,10,-1175.6599834619124,922.8888762160249,3.161796357381604,0.00504601717476772
3.493093469417716,-0.7878870342140561,-2.093352063113568,0.3553315857717659,NA,NA,NA,1.074851387534173,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,0.12373662321399367,NA,+,0.30303486598819074,12,-1170.6378898357798,923.040528609793,3.3134487511497355,0.00467754339712464
3.4761367380919213,-0.788968183227719,-2.093794887725686,0.35544664760861544,NA,NA,NA,1.0853658383867901,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,0.060500322083060866,NA,NA,+,0.3030466204949271,12,-1170.7194355194963,923.103015723752,3.3759358651087723,0.00453365972656695
2.0833768286470167,-0.7228772533098521,-2.0848974640681224,0.33297492093787456,NA,NA,NA,NA,NA,NA,NA,0.9620528128026968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14926269351881663,NA,+,0.30374888946845424,9,-1178.554395032749,923.1068161170491,3.379736258405842,0.00452505306131687
