psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),psi(sc.water),p(canopy),df,logLik,QAIC,delta,weight
-0.43079256359400536,-2.106563563916415,-0.7456739127971344,0.527470234819624,NA,0.21977072556048172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2621199159221774,NA,+,+,9,-737.3517663685025,996.6248561172218,4.500436867795656,0.0147175028624475
-0.4133269923109113,-2.1246679894527816,-0.7540497275616529,0.5273356021814342,NA,NA,0.20031162330169447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2613718492417001,NA,+,+,9,-737.3902601147129,996.6758412115403,4.551421962114091,0.0143470580787473
-0.43115072821715367,-2.150040101388617,-0.7736176481140786,0.5245616903778719,NA,NA,NA,NA,NA,NA,NA,NA,-0.17785004845834007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.30031859950544554,NA,+,+,9,-737.4467996742688,996.7507280453892,4.626308795963041,0.0138197881961625
-0.4010963504696028,-2.128887944073632,-0.757194372982269,0.527436913526297,NA,NA,NA,0.17386642150223897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2759500575950825,NA,+,+,9,-737.468234610535,996.7791186894503,4.65469944002416,0.0136249976803369
-0.43622143696533305,-2.1306693703212645,-0.7564107991715414,0.5272629617088266,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15160285639538254,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3209761570382899,NA,+,+,9,-737.557593681138,996.8974750743549,4.773055824928747,0.0128420889757796
-0.4334533286103361,-2.1319832768275577,-0.7598162111671254,0.5259836348157088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13588886348028736,NA,NA,NA,NA,NA,NA,-0.30339974422003485,NA,+,+,9,-737.5634809550344,996.905272788125,4.780853538698807,0.0127921169888731
-0.5278670955657838,-2.0991640269819127,-0.7490062046319003,0.5264571853611535,NA,NA,NA,NA,NA,NA,NA,NA,-0.23537217925283496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1912154305299996,+,+,9,-737.6116950539288,996.96913252176,4.84471327233382,0.0123901184304171
0.032758076926129774,-2.098127859787533,-0.7423883412782513,0.5301597141527798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,-0.22355419449282452,NA,+,+,11,-734.591871867036,996.9693667113061,4.844947461879883,0.0123886676972499
-0.5251240707619877,-2.0793685662158023,-0.7314490671103164,0.5277796975361378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2091259937055779,NA,NA,NA,NA,NA,NA,NA,0.19463368460441755,+,+,9,-737.722872262476,997.1163871026172,4.9919678531909994,0.0115106415965794
-0.5312929496614419,-2.0721718695897557,-0.7255012118650638,0.5299016747517145,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185992494934484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18703343498960842,+,+,9,-737.8496692365316,997.2843301146113,5.159910865185111,0.0105835452248762
-0.42453063748934416,-2.1021853460244855,-0.7357714384438695,0.5263963530946415,NA,NA,NA,NA,NA,NA,0.7102695127940567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-740.005410305202,998.1396162982808,6.0151970488545885,0.00690093814830569
-0.5361487908710454,-2.0718114774894754,-0.7219219375620484,0.5268856080197415,NA,NA,NA,NA,NA,NA,0.8651663081764858,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27286931013588506,NA,NA,NA,NA,+,+,9,-738.9253133504246,998.7090243051982,6.584605055772045,0.00519114018785743
-0.5357745041342958,-2.0699612063494426,-0.7195510448296676,0.5269437681672738,NA,NA,NA,NA,NA,NA,0.8639878565285404,NA,NA,NA,NA,NA,NA,NA,0.27442681089085824,NA,NA,NA,NA,NA,NA,+,+,9,-738.9907490541233,998.7956941114215,6.671274861995357,0.00497098723548585
-0.42704512961750424,-2.091349298154597,-0.7332993582555158,0.5272840783128706,NA,NA,NA,NA,NA,NA,NA,0.7129250144137854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-740.5049223653567,998.8012216759691,6.676802426542963,0.00495726747702692
-0.56126500350265085,-2.060998491110625,-0.7187198809705738,0.5279736233268338,NA,NA,NA,NA,NA,NA,NA,0.9626725932174678,NA,NA,NA,NA,NA,NA,NA,NA,0.31017144082112474,NA,NA,NA,NA,+,+,9,-739.2415138488595,999.1278329123967,7.003413662970502,0.00421036380658114
-0.5616058583937055,-2.059469976141011,-0.7169869554095073,0.5280307798491763,NA,NA,NA,NA,NA,NA,NA,0.9655031111986871,NA,NA,NA,NA,NA,NA,0.31686200229011235,NA,NA,NA,NA,NA,NA,+,+,9,-739.2924292138927,999.195270481977,7.070851232550808,0.00407076227892002
-0.4941607055767283,-2.0781532122998048,-0.722822028270455,0.5269347570091276,NA,NA,NA,NA,NA,NA,0.8202797604038643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2083946320719931,NA,NA,+,+,9,-739.5746544559489,999.5690787496012,7.444659500175021,0.00337679197922213
-0.3886050381301113,-2.123421280342757,-0.7440872718232227,0.5252112365938274,NA,NA,NA,NA,NA,NA,0.6622054938011355,NA,NA,NA,-0.24181608294827228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-739.5814563017938,999.5780878169454,7.45366856751923,0.00336161531361091
-0.4491647050099428,-2.097254688394988,-0.733387684896088,0.526474526060986,NA,NA,NA,NA,NA,NA,0.8171010721999878,NA,NA,NA,NA,NA,NA,0.17730358573812882,NA,NA,NA,NA,NA,NA,NA,+,+,9,-739.7896394107715,999.8538270341345,7.7294077847083145,0.00292868055171687
-0.4518441758794914,-2.0962395130390044,-0.7339608367619607,0.5264745624262197,NA,NA,NA,NA,NA,NA,0.8066870060580913,NA,NA,NA,NA,NA,NA,NA,NA,0.14701230477880953,NA,NA,NA,NA,NA,+,+,9,-739.8292624314981,999.9063078562889,7.781888606862708,0.00285283029333876
-0.40715905860050755,-2.0976009835087637,-0.7368505727424114,0.5265585661475981,NA,NA,NA,NA,NA,NA,0.7756620513927832,NA,NA,-0.1456397095097196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-739.8885280635706,999.9848053822127,7.860386132786516,0.00274302910876662
-0.51890316593152,-2.0651932937831434,-0.7187174043972159,0.5278768121146572,NA,NA,NA,NA,NA,NA,NA,0.9125893948516641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263672683482549,NA,NA,+,+,9,-739.8973869867058,999.9965390552394,7.872119805813213,0.00272698332046681
-0.4249986288594667,-2.107631250993452,-0.7396280170942561,0.5258011867445249,NA,NA,NA,NA,NA,NA,0.694518441241442,NA,-0.03544045476061886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-739.9961803837191,1000.1273912367141,8.002971987287879,0.00255427875636184
-0.42826036192995004,-2.100884141026167,-0.7352864197494535,0.5264279148017197,NA,NA,NA,NA,NA,NA,0.730439151561414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03937002530692396,NA,NA,NA,+,+,9,-739.9968570005813,1000.1282874179884,8.003868168562235,0.00255313446435878
-0.4246037338094398,-2.1003302409674975,-0.7349465182590101,0.5266781752648545,NA,NA,NA,NA,NA,NA,0.7209495864177714,NA,NA,NA,NA,NA,-0.02311014291777797,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-740.0017953063787,1000.1348282203691,8.010408970942876,0.00254479832905086
-0.3937309698350955,-2.1100825031159562,-0.7403692233585765,0.5261556242361789,NA,NA,NA,NA,NA,NA,NA,0.6566536664710892,NA,NA,-0.24075523128647022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-740.0630813935811,1000.2160018458028,8.091582596376611,0.00244358101410592
-0.49611542664830777,-2.079218122798755,-0.728273011072767,0.5262597084241528,NA,NA,NA,NA,0.46834067807252594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-741.5749247018676,1000.218443313732,8.094024064305813,0.00244059987172783
0.4200171058735948,-2.070756442848368,-0.7392906558780254,0.5299629026547841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,2.6913237390235856,NA,NA,NA,NA,NA,NA,+,+,11,-737.0916913009901,1000.280385829126,8.155966579699793,0.00236616996748943
-0.4673974268085232,-2.086380976489961,-0.730820965545289,0.527400835166283,NA,NA,NA,NA,NA,NA,NA,0.9074709251758055,NA,NA,NA,NA,NA,0.23956271255525258,NA,NA,NA,NA,NA,NA,NA,+,+,9,-740.1707410894783,1000.3585974695077,8.234178220081503,0.00227542484556191
-0.4648959613661596,-2.084490324665314,-0.7307091102653428,0.5274110401173314,NA,NA,NA,NA,NA,NA,NA,0.8691687778575621,NA,NA,NA,NA,NA,NA,NA,0.1838849024467566,NA,NA,NA,NA,NA,+,+,9,-740.266889895013,1000.485946880812,8.361527631385798,0.00213505428933654
0.3543351027359231,-2.0516644910827604,-0.7174316699354594,0.5307191880371802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,2.538940754874057,NA,NA,NA,NA,+,+,11,-737.2663584375689,1000.5117330298925,8.387313780466343,0.00210770357153616
-0.43272217106733885,-2.0891259420921857,-0.7408060738650305,0.5292200509503726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,7,-743.3600025592358,1000.5827848466699,8.458365597243755,0.00203413993193657
-0.42677326416156325,-2.1034309701242164,-0.7414921248890293,0.5258955761989315,NA,NA,NA,NA,NA,NA,NA,0.6808225401372321,-0.07998732997238084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-740.4548508877737,1000.7349018381108,8.61048258868459,0.00188516357810146
-0.1637300217670637,-2.0855024675118092,-0.733473768626026,0.5294882732525494,NA,NA,NA,NA,NA,NA,0.6448808246394537,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,11,-737.4511967871208,1000.7565520359216,8.63213278649539,0.00186486655277373
-0.4343997891648523,-2.0893331815975875,-0.7325887736649637,0.5273524243499708,NA,NA,NA,NA,NA,NA,NA,0.761971764760434,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07450240699848747,NA,NA,NA,+,+,9,-740.4794929832053,1000.7675403751064,8.643121125680182,0.00185464875452659
-0.45875408225450165,-2.0739459238135933,-0.7283555454581302,0.5277159020631409,0.3972318834988496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-741.9962741988959,1000.7765221177428,8.65210286831666,0.00184633843987315
-0.42757113550019915,-2.092330954524159,-0.7336656558747955,0.5270984643147425,NA,NA,NA,NA,NA,NA,NA,0.706196727014417,NA,NA,NA,NA,0.015569961457133845,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-740.5031772041036,1000.7989102041107,8.67449095468453,0.00182578569640975
-0.4268350821968573,-2.0912523121413757,-0.7333214273727574,0.5272880355178926,NA,NA,NA,NA,NA,NA,NA,0.7135795234174845,NA,-0.0022874242435435193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-740.5048884217347,1000.8011767175294,8.676757468103233,0.0018237177844783
