site_code,2015,2016,2017,2018,2019,2020,2021
C22-S2,27.18017578125,26.78515625,26.06494140625,25.92529296875,26.30517578125,25.9853515625,25.4599609375
C22-S3,27,26.7197265625,26.01513671875,25.8203125,26.3046875,25.8896484375,25.4697265625
C22-S4,26.794921875,26.5048828125,25.8046875,25.68505859375,26.14990234375,25.7099609375,25.21044921875
C22-S5,27.18017578125,26.78515625,26.06494140625,25.92529296875,26.30517578125,25.9853515625,25.4599609375
C22-S6,26.794921875,26.5048828125,25.8046875,25.68505859375,26.14990234375,25.7099609375,25.21044921875
C22-S7,26.7353515625,26.4501953125,25.75,25.705078125,26.14013671875,25.67529296875,25.1298828125
C22-S8,27.18017578125,26.78515625,26.06494140625,25.92529296875,26.30517578125,25.9853515625,25.4599609375
C24-S1,24.3447265625,24.31494140625,23.68017578125,24.1650390625,23.7451171875,23.9150390625,23.14501953125
C24-S2,24.5,24.4150390625,23.75,24.240234375,23.85498046875,23.990234375,23.2802734375
C24-S3,25.1748046875,25.0546875,24.18505859375,24.91015625,24.35986328125,24.4150390625,23.84033203125
C24-S4,24.81005859375,24.6953125,24.08984375,24.52978515625,24.14990234375,24.27001953125,23.57958984375
C24-S5,24.81005859375,24.6953125,24.08984375,24.52978515625,24.14990234375,24.27001953125,23.57958984375
C24-S6,24.85986328125,24.830078125,24.2548828125,24.669921875,24.2451171875,24.4453125,23.69482421875
C24-S7,24.3447265625,24.31494140625,23.68017578125,24.1650390625,23.7451171875,23.9150390625,23.14501953125
C29-S1,26.11474609375,25.51513671875,25.2646484375,25.22509765625,25.634765625,25.73486328125,24.9697265625
C29-S2,26.11474609375,25.51513671875,25.2646484375,25.22509765625,25.634765625,25.73486328125,24.9697265625
C34-S1,26.85986328125,26.48974609375,25.3701171875,26.205078125,25.69970703125,25.509765625,25.15478515625
C34-S2,26.90966796875,26.60498046875,25.42529296875,26.2548828125,25.74462890625,25.51513671875,25.2001953125
C37-S1,27.43505859375,27.28466796875,26.27490234375,27.099609375,26.58544921875,25.94482421875,25.94482421875
C37-S2,27.43505859375,27.28466796875,26.27490234375,27.099609375,26.58544921875,25.94482421875,25.94482421875
C37-S3,27.33984375,27.14990234375,26.1650390625,27.0048828125,26.5048828125,25.84521484375,25.830078125
C37-S4,27.33984375,27.14990234375,26.1650390625,27.0048828125,26.5048828125,25.84521484375,25.830078125
C39-S1,23.93505859375,24.240234375,22.74462890625,23.78515625,23.02001953125,22.48486328125,22.4853515625
C39-S2,23.97021484375,24.26025390625,22.76513671875,23.76513671875,23.03515625,22.51513671875,22.4599609375
C39-S3,24.60986328125,24.8798828125,23.39501953125,24.375,23.6298828125,23.10986328125,23.06005859375
C39-S4,22.74462890625,23.10498046875,21.59521484375,22.64990234375,21.8798828125,21.3603515625,21.40478515625
C40-S1,25.91015625,25.39990234375,25.34033203125,25.25,25.52490234375,25.75,24.93505859375
C40-S2,25.92529296875,25.419921875,25.2998046875,25.21044921875,25.51025390625,25.7451171875,24.94970703125
C40-S3,25.91015625,25.39990234375,25.34033203125,25.25,25.52490234375,25.75,24.93505859375
C400-S2,25.81005859375,25.330078125,25.1396484375,25.01025390625,25.5,25.59033203125,25.02490234375
C41-S1,26.88037109375,26.81494140625,26.3798828125,26.73046875,26.6298828125,26.1796875,25.15966796875
C41-S2,26.88037109375,26.81494140625,26.3798828125,26.73046875,26.6298828125,26.1796875,25.15966796875
C42-S1,22.94482421875,23.3251953125,21.9853515625,22.56494140625,21.8798828125,22.14013671875,21.72509765625
C42-S2,21.61962890625,22.080078125,20.72021484375,21.47021484375,20.6201171875,20.85498046875,20.615234375
C42-S3,22.3046875,22.7646484375,21.4296875,22.15478515625,21.2900390625,21.580078125,21.3203125
C42-S4,23.21484375,23.64013671875,22.31982421875,23.03466796875,22.1650390625,22.5,22.20458984375
C42-S5,22.94482421875,23.3251953125,21.9853515625,22.56494140625,21.8798828125,22.14013671875,21.72509765625
C44-S1,18.43017578125,18.5849609375,17.3203125,18.24462890625,17.27001953125,17.8603515625,17.34033203125
C44-S2,18.43017578125,18.5849609375,17.3203125,18.24462890625,17.27001953125,17.8603515625,17.34033203125
C44-S3,18.5302734375,18.65478515625,17.384765625,18.330078125,17.27978515625,17.955078125,17.42529296875
C44-S4,18.43017578125,18.5849609375,17.3203125,18.24462890625,17.27001953125,17.8603515625,17.34033203125
C44-S5,18.5302734375,18.65478515625,17.384765625,18.330078125,17.27978515625,17.955078125,17.42529296875
C44-S6,18.5302734375,18.65478515625,17.384765625,18.330078125,17.27978515625,17.955078125,17.42529296875
C46-S1,27.5498046875,27.26513671875,26.384765625,26.69970703125,26.72509765625,26.43994140625,26
C48-S1,27.23974609375,27.009765625,25.83544921875,26.31005859375,26.125,25.8203125,25.43505859375
C48-S2,27.2001953125,26.97998046875,25.830078125,26.28955078125,26.10986328125,25.81494140625,25.42041015625
C48-S3,27.205078125,26.974609375,25.8251953125,26.2900390625,26.10009765625,25.8203125,25.4150390625
C48-S4,27.2001953125,26.97998046875,25.830078125,26.28955078125,26.10986328125,25.81494140625,25.42041015625
C5-S1,24.31005859375,24.51025390625,23.39013671875,23.93017578125,23.35986328125,23.634765625,23.22998046875
C5-S2,24.06982421875,24.22998046875,23.14013671875,23.67041015625,23.09033203125,23.3798828125,22.96044921875
C5-S3,24.06982421875,24.22998046875,23.14013671875,23.67041015625,23.09033203125,23.3798828125,22.96044921875
C5-S5,24.06982421875,24.22998046875,23.14013671875,23.67041015625,23.09033203125,23.3798828125,22.96044921875
C500-S1,27.1552734375,26.98486328125,25.849609375,26.2900390625,26.10498046875,25.85498046875,25.384765625
C500-S2,27.1552734375,26.98486328125,25.849609375,26.2900390625,26.10498046875,25.85498046875,25.384765625
C501-S1,27.09521484375,27.02490234375,25.97998046875,26.31982421875,26.21484375,25.86474609375,25.3203125
