id,date,site_code,name,latitude,longitude,distance,prcp,tmax,tmin,tavg
USC00311165,2015-06-22,C6-S4,BRYSON CITY 4,35.4467,-83.4622,7.672748571114054,0,31.7,16.1,23.9
USC00311165,2015-06-23,C6-S3,BRYSON CITY 4,35.4467,-83.4622,5.886629284480028,0,31.7,16.1,23.9
USC00311165,2015-06-23,C6-S1,BRYSON CITY 4,35.4467,-83.4622,6.748405458301325,0,31.7,16.1,23.9
USC00311165,2015-06-23,C6-S4,BRYSON CITY 4,35.4467,-83.4622,7.672748571114054,0,31.7,16.1,23.9
USC00311165,2015-06-23,C6-S2,BRYSON CITY 4,35.4467,-83.4622,5.912847222830049,0,31.7,16.1,23.9
USC00311165,2015-06-24,C6-S2,BRYSON CITY 4,35.4467,-83.4622,5.912847222830049,0,31.7,18.3,25
USC00311165,2015-06-24,C6-S4,BRYSON CITY 4,35.4467,-83.4622,7.672748571114054,0,31.7,18.3,25
USC00311165,2015-06-24,C6-S1,BRYSON CITY 4,35.4467,-83.4622,6.748405458301325,0,31.7,18.3,25
USC00311165,2015-06-24,C6-S3,BRYSON CITY 4,35.4467,-83.4622,5.886629284480028,0,31.7,18.3,25
USC00311165,2015-06-25,C6-S1,BRYSON CITY 4,35.4467,-83.4622,6.748405458301325,0,32.8,18.3,25.549999999999997
USC00311165,2015-06-25,C6-S2,BRYSON CITY 4,35.4467,-83.4622,5.912847222830049,0,32.8,18.3,25.549999999999997
USC00311165,2015-06-25,C6-S3,BRYSON CITY 4,35.4467,-83.4622,5.886629284480028,0,32.8,18.3,25.549999999999997
USC00311165,2015-06-25,C6-S4,BRYSON CITY 4,35.4467,-83.4622,7.672748571114054,0,32.8,18.3,25.549999999999997
USC00311578,2015-07-16,C54-S2,CATAWBA 5 SW,35.6486,-81.1342,13.19416810314851,0,30.6,18.3,24.450000000000003
USC00311578,2015-07-16,C54-S1,CATAWBA 5 SW,35.6486,-81.1342,12.372804498622056,0,30.6,18.3,24.450000000000003
USC00311578,2015-07-16,C54-S3,CATAWBA 5 SW,35.6486,-81.1342,13.525948808800841,0,30.6,18.3,24.450000000000003
USC00311578,2015-07-17,C54-S1,CATAWBA 5 SW,35.6486,-81.1342,12.372804498622056,1.3,32.2,20.6,26.400000000000002
USC00311578,2015-07-17,C54-S2,CATAWBA 5 SW,35.6486,-81.1342,13.19416810314851,1.3,32.2,20.6,26.400000000000002
