site_code,2015,2016,2017,2018,2019,2020,2021
C1-S1,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C1-S2,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C1-S3,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C1-S4,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C1-S5,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C10-S1,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C10-S2,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C10-S3,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C100-S1,3.03000009059906,3.015000104904175,2.8949999809265137,2.5299999713897705,3.930000066757202,3.365000009536743,3.8200000524520874
C100-S2,3.03000009059906,3.015000104904175,2.8949999809265137,2.5299999713897705,3.930000066757202,3.365000009536743,3.8200000524520874
C100-S3,3.03000009059906,3.015000104904175,2.8949999809265137,2.5299999713897705,3.930000066757202,3.365000009536743,3.8200000524520874
C105-S1,4.579999923706055,4.204999923706055,3.5600000619888306,6.134999990463257,3.9299999475479126,2.8000000715255737,3.5700000524520874
C105-S2,4.579999923706055,4.204999923706055,3.5600000619888306,6.134999990463257,3.9299999475479126,2.8000000715255737,3.5700000524520874
C108-S1,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C108-S2,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C108-S3,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C108-S4,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C108-S6,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C108-S7,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C12-S2,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C12-S3,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C12-S4,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C12-S5,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C12-S6,3.924999952316284,4.319999933242798,3.2350000143051147,3.880000114440918,3.659999966621399,3.2699999809265137,4.965000152587891
C13-S1,3.365000009536743,3.0049999952316284,3.5399999618530273,5.5,3.960000157356262,4.215000033378601,4.585000038146973
C13-S2,3.365000009536743,3.0049999952316284,3.5399999618530273,5.5,3.960000157356262,4.215000033378601,4.585000038146973
C13-S3,3.365000009536743,3.0049999952316284,3.5399999618530273,5.5,3.960000157356262,4.215000033378601,4.585000038146973
C13-S4,3.365000009536743,3.0049999952316284,3.5399999618530273,5.5,3.960000157356262,4.215000033378601,4.585000038146973
C14-S1,4.579999923706055,4.204999923706055,3.5600000619888306,6.134999990463257,3.9299999475479126,2.8000000715255737,3.5700000524520874
C14-S2,4.579999923706055,4.204999923706055,3.5600000619888306,6.134999990463257,3.9299999475479126,2.8000000715255737,3.5700000524520874
C14-S3,4.579999923706055,4.204999923706055,3.5600000619888306,6.134999990463257,3.9299999475479126,2.8000000715255737,3.5700000524520874
C18-S1,4.579999923706055,4.204999923706055,3.5600000619888306,6.134999990463257,3.9299999475479126,2.8000000715255737,3.5700000524520874
C18-S2,4.579999923706055,4.204999923706055,3.5600000619888306,6.134999990463257,3.9299999475479126,2.8000000715255737,3.5700000524520874
C18-S3,4.579999923706055,4.204999923706055,3.5600000619888306,6.134999990463257,3.9299999475479126,2.8000000715255737,3.5700000524520874
C18-S4,4.579999923706055,4.204999923706055,3.5600000619888306,6.134999990463257,3.9299999475479126,2.8000000715255737,3.5700000524520874
