site,structure,canopy,water,Latitude,Longitude
C44-S6,edge,open,no,36.34537,-81.69091
C46-S1,edge,open ,yes,34.04230957,-77.9103949
C46-S2,edge,open ,yes,33.96287553,-77.92478696
C48-S1,corridor,closed,yes,34.26001098,-78.52314689
C48-S2,corridor,half ,no,34.26726066,-78.4667703
C48-S3,corridor,open ,no,34.29847595,-78.47930015
C48-S4,field,open,yes,34.291122,-78.472504
C500-S1,edge,half ,yes,34.50894,-78.41544
C500-S2,edge,open,no,34.51403,-78.41021
C501-S1,corridor,half ,no,34.72891,-78.53292
C501-S2,corridor,open,no,34.73496,-78.58098
C502-S1,corridor,open,yes,34.80719,-78.66722
C502-S2,field,open,yes,34.86224,-78.72867
C503-S1,corridor,half ,no,35.798998,-81.677941
C503-S2,corridor,open,yes,35.78764605,-81.63615308
C52-S1,corridor,half ,no,36.06698879,-81.50318781
C52-S2,corridor,open ,yes,36.06446483,-81.51604691
C54-S1,edge,open ,no,35.698665,-81.01187367
C54-S2,edge,open ,yes,35.70529006,-81.005876
C54-S3,corridor,open ,yes,35.65164872,-80.98455085
C58-S1,corridor,open ,no,36.2819282,-77.90407847
C58-S2,corridor,open ,yes,36.23632,-77.89095
C58-S3,corridor,closed,yes,36.24746,-77.88518
C5-S1,corridor,half ,yes,36.00523286,-81.64943165
C5-S2,edge,open ,yes,36.01075083,-81.62118875
C5-S3,field,open ,no,36.0077797,-81.61484172
C5-S5,field,open,no,36.011064,-81.621773
C62-S1,edge,open ,yes,34.86535957,-79.88018464
C62-S2,corridor,open ,no,34.86617295,-79.86868417
C65-S1,interior,half ,yes,35.31989375,-79.97009715
C65-S2,corridor,open ,no,35.31885901,-79.96895327
C65-S3,corridor,half ,no,35.36316591,-79.99141811
C65-S4,corridor,closed,yes,35.32099103,-79.9494423
C65-S5,corridor,half ,yes,35.44548,-80.038462
C65-S6,corridor,open,yes,35.38194,-80.05437
C66-S1,field,open ,no,36.08323015,-80.27868035
C6-S1,edge,open ,no,35.46179133,-83.3900356
C6-S2,corridor,open ,yes,35.44283733,-83.39710037
C6-S3,edge,open ,no,35.44295635,-83.39737999
C6-S4,corridor,closed,no,35.40718348,-83.39278042
C74-S1,corridor,half ,yes,36.08188385,-82.27958162
C74-S2,corridor,half ,no,36.10667945,-82.27714341
C74-S3,corridor,open ,no,36.14326143,-82.22995087
C75-S1,corridor,open ,yes,36.08470428,-79.03680677
C75-S2,corridor,closed,yes,36.08714056,-79.06439027
C75-S3,corridor,open,yes,36.085027,-79.061935
C75-S4,corridor,half ,yes,36.08577,-79.03245
C78-S1,field,open ,yes,36.4404268,-79.94906947
C78-S2,corridor,open ,yes,36.43911478,-79.93804785
C78-S3,corridor,closed,no,36.505402,-80.002215
C78-S4,corridor,open,no,36.509415,-79.998955
C79-S1,corridor,open ,no,35.23997407,-81.26898738
C79-S2,edge,open ,yes,35.21013374,-81.29311251
C7-S1,edge,open ,no,36.45198385,-77.00248903
C7-S2,interior,half ,no,36.44212003,-77.0130307
C7-S3,corridor,open ,yes,36.43594232,-76.95322615
C7-S4,corridor,open ,yes,36.45804824,-76.99537262
C81-S1,corridor,open ,no,34.51621743,-79.001412
C81-S2,corridor,open ,yes,34.52869071,-78.93433507
C81-S3,corridor,open ,yes,34.503387,-78.9444941
C81-S4,corridor,half ,no,34.52869071,-78.93433507
C83-S1,corridor,closed,yes,35.4464542,-82.21714826
C83-S2,corridor,open ,no,35.44121836,-82.21277115
C84-S1,corridor,open ,no,35.17295438,-83.57475691
C84-S2,corridor,half ,no,35.16345,-83.53965
C84-S3,field,open,yes,35.153387,-83.597539
C95-S1,corridor,open ,yes,35.42403932,-82.92407538
C95-S2,corridor,open ,no,35.34271801,-82.97101387
C95-S3,corridor,half ,no,35.40317,-82.89719
